,Субъект федерации\Показатель на начало 2022 г.;Среднедушевые денежные доходы населения, руб/мес ;Расходы на потребление, руб;Мужское население, тыс. чел.;Женское население, тыс. чел.
0,Белгородская область ;35781;20715.41;709.6;822.3,,,,
1,Брянская область ;31666;16621.72;535.6;633.2,,,,
2,Владимирская область;28600;18801.27;602.9;720.8,,,,
3,Воронежская область;34970;17166.18;1050.8;1236.9,,,,
4,Ивановская область;28684;21908.71;443.9;533.0,,,,
5,Калужская область;34599;21050.75;472.5;540.3,,,,
6,Костромская область ;28156;19263.70;286.0;334.8,,,,
7,Курская область;32716;22618.74;494.0;589.6,,,,
8,Липецкая область;34911;19321.32;509.8;603.9,,,,
9,Московская область;53792;24059.25;3604.4;4164.5,,,,
10,Орловская область;29531;17508.88;322.7;391.4,,,,
11,Рязанская область;30457;15088.17;497.6;587.6,,,,
12,Смоленская область;30731;16058.90;421.3;488.5,,,,
13,Тамбовская область ;30039;15025.54;452.5;528.5,,,,
14,Тверская область;30505;18478.47;562.6;667.5,,,,
15,Тульская область;31816;18319.21;651.6;781.0,,,,
16,Ярославская область  ;33106;17531.72;552.6;674.7,,,,
17,г. Москва;87972;55897.68;5843.5;6792.0,,,,
18,Республика Карелия;34918;18499.13;275.3;327.8,,,,
19,Республика Коми;38478;20162.22;379.4;424.1,,,,
20,Архангельская область  ;39440;28487.80;523.0;591.3,,,,
21,Ненецкий авт.округ;85193;19950.24;21.8;22.7,,,,
22,Вологодская область;31612;21660.36;525.1;614.4,,,,
23,Калининградская область;32019;18642.41;483.4;544.3,,,,
24,Ленинградская область ;36273;21238.35;894.2;1017.4,,,,
25,Мурманская область  ;51166;31470.38;349.7;374.8,,,,
26,Новгородская область;28934;17939.72;265.8;320.3,,,,
27,Псковская область  ;29303;17297.33;285.6;327.7,,,,
28,г. Санкт-Петербург;57098;29793.65;2435.2;2942.3,,,,
29,Республика Адыгея ;34556;17280.38;219.5;248.9,,,,
30,Республика Калмыкия;21250;13079.81;128.7;139.1,,,,
31,Республика Крым;26371;15187.12;874.2;1022.2,,,,
32,Краснодарский край;41944;19217.70;2635.4;3051.9,,,,
33,Астраханская область;26799;19362.76;466.8;522.6,,,,
34,Волгоградская область;27788;17939.06;1139.0;1310.8,,,,
35,Ростовская область ;34955;18739.37;1934.7;2219.0,,,,
36,г. Севастополь;33260;21536.21;247.7;274.4,,,,
37,Республика Дагестан;30258;14457.66;1527.1;1626.7,,,,
38,Республика Ингушетия;17954;11003.89;239.6;284.5,,,,
39,Кабардино-Балкарская Республика;25824;12588.53;410.1;460.4,,,,
40,Карачаево-Черкесская Республика;20458;14869.15;215.5;248.7,,,,
41,Республика Северная Осетия - Алания;25752;16429.23;319.2;368.9,,,,
42,Чеченская Республика;26295;14011.01;748.7;767.7,,,,
43,Ставропольский край;26129;17366.61;1299.9;1480.3,,,,
44,Республика Башкортостан;32524;21882.88;1880.8;2120.8,,,,
45,Республика Марий Эл ;23241;15022.35;313.5;358.0,,,,
46,Республика Мордовия;22928;15231.06;364.1;406.6,,,,
47,Республика Татарстан;39729;21192.02;1802.0;2084.4,,,,
48,Удмуртская Республика;27516;18971.25;684.0;800.5,,,,
49,Чувашская Республика ;23458;13767.07;561.4;637.0,,,,
50,Пермская область ;32745;21065.95;1175.5;1381.3,,,,
51,Кировская область;26471;19226.50;569.5;665.3,,,,
52,Нижегородская область ;37577;21906.22;1432.6;1711.6,,,,
53,Оренбургская область;26418;16485.52;898.4;1026.2,,,,
54,Пензенская область ;26255;16496.47;583.2;690.9,,,,
55,Самарская область;32264;19399.41;1436.2;1695.5,,,,
56,Саратовская область;26219;15181.08;1085.2;1275.8,,,,
57,Ульяновская область;26908;16288.13;554.3;649.7,,,,
58,Курганская область;23764;17742.27;372.0;433.5,,,,
59,Свердловская область;40274;21606.39;1961.6;2302.7,,,,
60,Тюменская область  ;53101;26247.78;1839.8;1966.7,,,,
61,Ханты-Мансийский авт.округ;57001;28909.21;829.6;872.6,,,,
62,Ямало-Ненецкий авт.округ;96007;33871.18;273.1;279.0,,,,
63,Челябинская область;29237;19029.01;1567.3;1851.3,,,,
64,Республика Алтай;23773;15335.88;105.3;116.3,,,,
65,Республика Бурятия;27767;13909.94;469.6;513.0,,,,
66,Республика Тыва;20041;12583.85;159.6;173.0,,,,
67,Республика Хакасия;25737;18458.67;245.5;282.8,,,,
68,Алтайский край;25683;14432.54;1047.6;1220.6,,,,
69,Забайкальский край;28880;19076.19;500.2;543.3,,,,
70,Красноярский край  ;35703;22661.25;1331.5;1517.7,,,,
71,Иркутская область;30277;19777.03;1092.6;1264.5,,,,
72,Кемеровская область;28289;16404.35;1197.7;1406.6,,,,
73,Новосибирская область;35250;16617.61;1294.4;1485.9,,,,
74,Омская область;29980;16710.94;869.3;1010.2,,,,
75,Томская область;30995;19490.40;502.6;565.7,,,,
76,Республика Саха (Якутия);49938;24108.81;485.4;506.7,,,,
77,Камчатский край  ;60226;29887.96;156.5;156.2,,,,
78,Приморский край;41216;29034.56;892.7;970.3,,,,
79,Хабаровский край ;44096;24966.57;620.0;679.0,,,,
80,Амурская область;39551;21502.54;366.2;406.3,,,,
81,Магаданская область ;75470;33939.24;66.6;71.2,,,,
82,Сахалинская область  ;63853;25496.05;234.1;250.1,,,,
83,Еврейская авт.область;30429;20772.75;73.2;80.6,,,,
84,Чукотский авт.округ;97358;26299.04;25.5;24.5,,,,
